unique_ids,ids,category_names,family_names,type_names,host_ids,BB_X_dims,BB_Y_dims,BB_Z_dims,BB_volumes,BB_centers,BB_plane_Zs,solid_volumes,room_names
05635810-f61e-43bc-be59-ccf561e0c8f3-005c86ba,6063802,Doors,Wooden Door,80/210,02002ca4-2adf-4a5e-bf93-230816bb511b-005c5abc,80,210,10,168000,"{7243.368821, 4237.128799, 2465.0}","{1,0,0}",96250,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c873b,6063931,Doors,Wooden Door1,80/210,05635810-f61e-43bc-be59-ccf561e0c8f3-005c7292,80,210,10,168000,"{6855.868821, 4182.128799, 2465.0}","{0,-1,0}",96250,-
f766e8be-d685-41ec-bfc0-51b0fb46a528-005c8a8f,6064783,Plumbing Fixtures,כיור,45/25,8394d77a-1c79-4e9f-9c31-534e6f44c403-00c8638d,45,22.410935,25,25212.30169,"{5647.114618, 4574.150604, 2438.705467}","{0,-1,0}",8139.533831,-
f766e8be-d685-41ec-bfc0-51b0fb46a528-005cb3e6,6075366,Doors,Wooden Door,80/210,db393428-ed03-4233-acb7-a08f35ccacf1-0055f01a,80,210,10,168000,"{5537.578941, 4260.130121, 2465.0}","{0,-1,0}",96250,-
94e279ca-74dc-4775-b622-cee9a2e83072-005cc62b,6080043,Windows,Tovna_Mamad_Zinor4_Int,"8""_int",57291440-a6be-47db-8639-33c0ddf6301a-0054c9cd,16,16,29.5,7552,"{5192.328941, 4166.130121, 2587}","{1,0,0}",1348.199181,-
94e279ca-74dc-4775-b622-cee9a2e83072-005cc62c,6080044,Windows,Tovna_Mamad_Zinor8_Int,"8""_int",57291440-a6be-47db-8639-33c0ddf6301a-0054c9cd,26,26,29.5,19942,"{5192.328941, 4216.130121, 2587}","{1,0,0}",3138.904876,-
56280410-77df-4c7d-b694-276580156800-005ccc22,6081570,Plumbing Fixtures,Shower Basin - 2D (Corner),Shower Basin - 2D (Corner),-,85,1,75,6375,"{5743.114618, 4544.150604, 2360.5}","{1,0,0}",6375,-
56280410-77df-4c7d-b694-276580156800-005ccc24,6081572,Walls,Basic Wall,בלוק 10,-,321.520483,275.5,10,885788.9302,"{5700.614618, 4425.890363, 2497.75}","{-1,0,0}",667870.7676,-
56280410-77df-4c7d-b694-276580156800-005ccc25,6081573,Doors,Wooden Door1,80/210,56280410-77df-4c7d-b694-276580156800-005cd049,80,210,10,168000,"{5875.614618, 4457.150604, 2465.0}","{-1,0,0}",96250,-
56280410-77df-4c7d-b694-276580156800-005ccc27,6081575,Walls,Basic Wall,בלוק 10,-,275.5,175,10,482125,"{5793.114618, 4401.650604, 2497.75}","{0,1,0}",482125,-
56280410-77df-4c7d-b694-276580156800-005ccc28,6081576,Plumbing Fixtures,כיור אמבטיה,Type 1,8394d77a-1c79-4e9f-9c31-534e6f44c403-00c8638d,90,90,41.5,336150,"{5825.614618, 4567.400604, 2405.0}","{0,-1,0}",10800,-
56280410-77df-4c7d-b694-276580156800-005cd049,6082633,Walls,Basic Wall,בלוק 10,-,180,233.901531,10,421022.756,"{5875.614618, 4496.650604, 2476.950766}","{-1,0,0}",253022.756,-
56280410-77df-4c7d-b694-276580156800-005cd463,6083683,Doors,Wooden Door,80/210,56280410-77df-4c7d-b694-276580156800-005ccc24,80,210,10,168000,"{5700.614618, 4323.130121, 2465.0}","{1,0,0}",96250,-
56280410-77df-4c7d-b694-276580156800-005ce121,6086945,Windows,קיפ ציר תחתון+ארגז תריס,60/120,c26d3142-9e63-4880-b881-20cc416ac3cb-00c36650,68,154,30,314160,"{7558.868821, 4284.124917, 1882.0}","{1,0,0}",29694.2833,-
56280410-77df-4c7d-b694-276580156800-005ce14c,6086988,Windows,קיפ ציר תחתון+ארגז תריס,60/120,c26d3142-9e63-4880-b881-20cc416ac3cb-00c365c9,68,154,30,314160,"{7558.868821, 4284.124917, 1549.5}","{1,0,0}",29694.2833,-
56280410-77df-4c7d-b694-276580156800-005ce177,6087031,Windows,קיפ ציר תחתון+ארגז תריס,60/120,c26d3142-9e63-4880-b881-20cc416ac3cb-00c364ef,68,154,30,314160,"{7558.868821, 4284.124917, 1217}","{1,0,0}",29694.2833,-
56280410-77df-4c7d-b694-276580156800-005ce19b,6087067,Windows,קיפ ציר תחתון+ארגז תריס,60/120,0a117d69-c301-4a04-b4b8-c5059dcfc7ca-009bec3f,68,154,35,366520,"{7553.368821, 4284.124917, 884.5}","{1,0,0}",31339.2833,-
56280410-77df-4c7d-b694-276580156800-005ce1fa,6087162,Windows,הזזה-דו-כנפיתריס-בלגי,180/120,b06b7cb2-6106-4c70-81f5-4bd547b7f8e8-009f3126,188,154,37,1.07E+06,"{4626.078941, 4092.623085, 219}","{-1,0,0}",77319.51747,-
